2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:25 | Đang tải mô hình cardiffnlp/twitter-xlm-roberta-base-sentiment...
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:32 | Mô hình sẵn sàng!
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:25 | Đang tải mô hình cardiffnlp/twitter-xlm-roberta-base-sentiment...
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:32 | Mô hình sẵn sàng!
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:25 | Đang tải mô hình cardiffnlp/twitter-xlm-roberta-base-sentiment...
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:32 | Mô hình sẵn sàng!
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:25 | Đang tải mô hình cardiffnlp/twitter-xlm-roberta-base-sentiment...
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:32 | Mô hình sẵn sàng!
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:25 | Đang tải mô hình cardiffnlp/twitter-xlm-roberta-base-sentiment...
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:32 | Mô hình sẵn sàng!
2026-07-14 17:27:20 | ERROR | sentiment_analyzer | predict:42 | Lỗi khi phân tích cảm xúc: Model error
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:25 | Đang tải mô hình cardiffnlp/twitter-xlm-roberta-base-sentiment...
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:32 | Mô hình sẵn sàng!
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:25 | Đang tải mô hình cardiffnlp/twitter-xlm-roberta-base-sentiment...
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:32 | Mô hình sẵn sàng!
2026-07-14 17:27:20 | INFO | sentiment_analyzer | batch_predict:46 | Bắt đầu phân tích 3 văn bản...
2026-07-14 17:27:20 | INFO | sentiment_analyzer | batch_predict:52 | Hoàn thành phân tích 3 văn bản
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:25 | Đang tải mô hình cardiffnlp/twitter-xlm-roberta-base-sentiment...
2026-07-14 17:27:20 | INFO | sentiment_analyzer | __init__:32 | Mô hình sẵn sàng!
2026-07-14 17:27:20 | INFO | sentiment_analyzer | batch_predict:46 | Bắt đầu phân tích 3 văn bản...
2026-07-14 17:27:20 | ERROR | sentiment_analyzer | predict:42 | Lỗi khi phân tích cảm xúc: Error
2026-07-14 17:27:20 | INFO | sentiment_analyzer | batch_predict:52 | Hoàn thành phân tích 3 văn bản
2026-07-14 17:27:20 | INFO | trend_analyzer | detect_anomalies:35 | Phát hiện 1 điểm bất thường
2026-07-14 17:27:20 | INFO | trend_analyzer | detect_anomalies:35 | Phát hiện 1 điểm bất thường
2026-07-14 17:27:20 | INFO | trend_analyzer | get_trending_topics:43 | Phân tích 6 dòng, tìm top 2 trending topics
2026-07-14 17:27:20 | INFO | trend_analyzer | get_trending_topics:57 | Top topic: AI
2026-07-14 17:27:20 | INFO | trend_analyzer | get_trending_topics:43 | Phân tích 6 dòng, tìm top 2 trending topics
2026-07-14 17:27:21 | INFO | trend_analyzer | get_trending_topics:57 | Top topic: AI
2026-07-14 17:27:21 | INFO | trend_analyzer | get_trending_topics:43 | Phân tích 0 dòng, tìm top 5 trending topics
2026-07-14 17:27:21 | INFO | trend_analyzer | get_trending_topics:57 | Top topic: N/A
